source,target
Сегодня  мхатом называют оба театра – и МХТ им. ,Сегодня в Москве есть  МХТ им. 
"Онегин – представитель дворянской (см. дворянин) молодёжи 20-х годов ХIХ в. с характерным для неё критическим отношением к высшему свету, равнодушием к карьере, чувством личной независимости. ",Онегин – представитель молодёжи 20-х годов ХIХ в. 
Фольклорный образ Иванушки-дурачка часто трактуется как один из типов русского национального характера (см. русские).,Иванушку-дурачка считают одним из типов русского национального характера. 
Митлянского в Москве на Патриарших прудах. ,Митлянский).
"Создана в 1881 г., находится в Третьяковской галерее (см. ","Картина написана в 1881 г., находится в Третьяковской галерее (см. "
На картине изображен обряд крещения. ,На картине изображен обряд крещения. 
"В эти годы Пушкин написал несколько романтических поэм («Бахчисарайский фонтан», «Кавказский пленник» и др.), множество лирических стихотворений, начал работать над романом в стихах «Евгений Онегин». ","В эти годы он написал много лирических стихотворений, но в его произведениях появились и политические  мотивы. "
"Чайковского «Лебединое озеро» и «Спящая красавица», поставленные М. ",Чайковского «Спящая красавица» и «Щелкунчик» в постановке Мариуса Петипа. 
Успенского «Крокодил Гена и его друзья» (1966 г.). ,Мультфильмы о Чебурашке были созданы в 1969-1983 гг. по книге Успенского «Крокодил Гена и его друзья».
"«Силы этой богатой натуры остались без приложения, жизнь без смысла, а роман без конца», – писал об Онегине русский критик В. ","«Силы этой богатой натуры остались без приложения, жизнь без смысла, а роман без конца», – писал об Онегине русский критик В.Г. "
С ХVIII в. в России на Рождество было принято наряжать ёлку. ,С ХVIII в. на Рождество стали украшать ёлку. 
"В состоянии глубокого душевного кризиса и пытаясь ещё раз изменить свою жизнь, найти в ней интерес, Онегин отправляется в путешествие по России. ","Онегин хочет изменить свою жизнь, найти в ней смысл. "
Антон Павлович Чехов родился 29 января (17 января по старому стилю) в 1860 г. в Таганроге в семье владельца небольшой бакалейной лавки. ,Антон Павлович Чехов родился  29 января 1860 г. в Таганроге.
Рождество отмечается и как традиционный государственный праздник. ,Рождество стало и государственным праздником. 
Они вместе поздравляют детей с Новым годом и дарят подарки (см. ,Они вместе поздравляют детей с Новым годом и дарят подарки (см. 
Начиная с эпохи Древней Руси (см. ,С эпохи Древней Руси (см. 
"Гёте, «Медею» Еврипида и др. ",Гёте и др.
При театре работает Хореографическое училище.,При Большом театре работает Академия Хореографии.
"Билибиным (иллюстрации к сказке «Василиса Прекрасная», 1902 г.) и В.М. ",Билибин и В.М. 
"Широко известны пасхальные яйца, изготовленные из драгоценных металлов и камней мастерами фирмы известного русского ювелира Карла Фаберже. ",Знаменитый русский ювелир Карл Фаберже создал коллекцию пасхальных яиц из драгоценных металлов и камней.
"В начале сказки Иван-царевич бывает печален и даже несчастлив, но в конце – обязательно победит зло и женится на прекрасной царевне.","В начале сказки Иван-царевич попадает в трудные ситуации и часто не знает, что делать."
"В сказочных сюжетах Иван-царевич обязательно проходит через ряд испытаний, совершает подвиги, рискует жизнью прежде, чем достигает желанной цели и счастья. ","Иван-царевич совершает подвиги, рискует жизнью. "
Многие лирические стихотворения поэта положены на музыку и стали романсами. ,"Многие лирические стихотворения поэта стали романсами,  "
С 1820−х гг. театр стали называть малым. ,Поэтому театр стали называть Малым. 
"Холодным борщом (холодником, свекольником) называют суп, приготовленный на охлажденном свекольном отваре или кефире вместо мясного бульона. ","Холодным борщом называют суп на холодном свекольном  бульоне  или кефире с варёными овощами (свёкла, картофель), свежим огурцом,  зеленью и сметаной."
С двенадцатым ударом часов все встают и поднимают бокалы шампанского со словами: «С Новым годом! ,С двенадцатым ударом все встают и поднимают бокалы шампанского со словами: «С Новым годом! 
"Год рождения театра – 1776 г., когда в Москве была организована первая профессиональная театральная труппа. ","В 1776 г. в Москве была создана первая театральная труппа, и в 1780 г. построено первое здание театра."
"В это время написаны наиболее известные рассказы и повести: «Палата № 6», «Попрыгунья», «Скрипка Ротшильда», «Ионыч», «Чёрный монах», «Человек в футляре», «Дом с мезонином», «В овраге» и «Мужики».","Здесь он жил с родителями, братом и сестрой до 1899 года:  лечил крестьян, строил школы, написал более 40 повестей и рассказов («Палата № 6», «Моя жизнь», «Человек в футляре», «Мужики» и др.), пьесы «Чайка» и «Дядя Ваня»."
В 1980 г. перед зданием галереи был открыт памятник П.М. ,В 1980 г. перед зданием галереи был открыт памятник П.М. 
"По русскому обычаю, надо сначала проводить старый год: вспомнить всë, что в нëм было, и выпить бокал вина (рюмку водки) за уходящий год. ","По традиции  вечером 31 декабря все провожают старый год, выпивают бокал вина (рюмку водки) за уходящий год. "
", Да здравствует 1 Мая – День международной солидарности трудящихся!",Советский Союз) период праздник назывался День международной солидарности трудящихся. 
"В песне поется о маленькой красивой ёлочке, которая из лесу пришла на праздник к  детям:","В песне поется о маленькой красивой ёлочке, которая из лесу пришла на праздник к  детям:"
"Там пекут блины, устраивают катания на тройках (см. тройка) и народные игры, показывают театрализованные представления.","Там тоже пекут блины, катаются на тройках (см. тройка), играют и танцуют."
"С 2005 г., когда праздновалось 60−летие Победы Советского Союза в Великой Отечественной войне, появилась традиция привязывать оранжево−чёрные Георгиевские ленточки (см. ",В 2005 г. появилась новая традиция привязывать оранжево-чёрные Георгиевские ленточки (см. 
Успех чеховских спектаклей был огромен. ,Спектакли имели огромный успех. 
В 1895 г. в Мариинском театре состоялась новая премьера «Лебединого озера» в постановке хореографов Мариуса Петипа и Льва Иванова. ,В 1895 г. в Мариинском театре состоялась новая премьера «Лебединого озера» в постановке хореографов Мариуса Петипа.
"Русь), в школьных (см. школа) учебниках по истории и русской художественной культуре.","Русь), в школьных  (см. школа) учебниках  по истории и русской художественной культуре. "
"Жидкое горячее блюдо, суп из свëклы и других овощей.",Cуп из свëклы и других овощей.
"Очень часто 9 Мая бывает одним из первых тёплых весенних (см. весна) дней, и поэтому многие в этот день выходят просто погулять по празднично украшенным улицам, идут в гости к ветеранам войны, выезжают за город, на дачу.","Очень часто 9 Мая бывает одним из первых тёплых весенних (см. весна) дней, и поэтому многие в этот день выходят просто гулять по праздничным улицам, идут в гости, едут за город."
"Сюжет сказки прост: Колобок, испечённый старухой из последних запасов муки, убегает из дому, встречает на своём пути разных зверей: зайца, волка, медведя и лису, каждый из них хочет его съесть.",Каждый из них хочет его съесть.
Поэт был похоронен в Святогорском монастыре недалеко от Михайловского.,Могила поэта  находится в Святогорском монастыре недалеко от Михайловского.
В 1987 г. коллектив театра разделился на две самостоятельные труппы. ,В 1987 г. коллектив театра разделился на две труппы. 
"Народные гулянья на Масленицу – тема многих картин русских художников, среди которых наиболее известна «Масленица» Б.М. ","Народные гулянья на Масленицу − тема многих картин русских художников, наиболее известна «Масленица» Б.М. "
Официальное название Праздник весны и труда.,Официальное название Праздник весны и труда.
"В начале ХIХ в. в Большом театре ставились в основном произведения французских и итальянских авторов, но вскоре появились первые оперы и балеты русских композиторов А. ",В конце ХVIII – начале XIX в. на сцене театра шли в основном произведения европейских авторов.
"На Таганке не было традиционного занавеса, почти не использовались декорации, их заменяли различные сценические конструкции.","На сцене был минимум декораций, не было занавеса, традиционных театральных костюмов, звучали песни и стихи. "
"Дата рождения человека, которая отмечается как бытовой, домашний праздник.","Дата рождения человека, которая отмечается как бытовой, домашний праздник."
В первомайские дни красными флагами и политическими плакатами украшались улицы. ,Улицы украшали красными флагами и политическими  плакатами. 
Крупнейшими православными храмами России являются восстановленный Храм Христа Спасителя в Москве и Исаакиевский собор в Петербурге.,Самыми большими православными храмами России являются Храм Христа Спасителя в Москве и Исаакиевский собор в Петербурге. 
"Через три года он возвращается в Петербург и, сразу же попав на бал, встречает Татьяну, уже светскую даму, жену генерала. ","Она уже светская дама, жена генерала. "
Главная Ëлка страны − в Московском Кремле.,Главная Ëлка страны − в Московском Кремле. 
С 2006 г. театр проводит международный театральный фестиваль «Александринский».,С 2006 г. театр проводит международный театральный фестиваль «Александринский».
С театром сотрудничали композиторы Э.В. ,С театром сотрудничали композиторы Э.В. 
"В России праздник 8 Марта был впервые отмечен в 1913 г., через несколько лет после решения II Международной конференции социалисток (1910 г.) о ежегодном праздновании Международного женского дня как дня солидарности женщин всего мира в борьбе за экономическое, социальное и политическое равноправие. ","Это был день солидарности женщин всего мира в борьбе за экономическое, социальное и политическое равноправие."
"Глинки, «Борис Годунов» М.П. ","Глинки, «Борис Годунов» М.П. "
В основе сюжета лежит история любви Евгения Онегина и Татьяны Лариной. ,и Татьяны Лариной.
"Валенки − лёгкая, мягкая и очень тёплая обувь для зимы. ","Валенки − лёгкая, мягкая, удобная и очень тёплая обувь. "
"Вернувшись в Россию, открыл школу для крестьянских (см. крестьянин) детей в Ясной Поляне, а затем – более 20 школ в окрестных деревнях (см. деревня). ","После войны вернулся в Ясную Поляну, открыл школу для крестьянских детей, писал для них буквари, учебники, книги для чтения."
"Там он встречает Татьяну Ларину, любовь которой не находит ответа в его сердце; пытается подружиться с поэтом-романтиком Владимиром Ленским, но вскоре убивает его на дуэли после нелепой ссоры. ",В деревне Онегин также знакомится с поэтом-романтиком Владимиром Ленским. 
Ершова «Конëк-Горбунок» (1834 г.). ,Ершова «Конëк-Горбунок» (1834 г.).
"Среди самых известных музыкальных произведений, посвящённых Петербургу – «Вечерняя песня» В.П. ",Глиэра и «Вечерняя песня» В.П. 
В последние годы в России появилась традиция проведения Пасхальных фестивалей искусств.,В последние годы в России появилась традиция проведения Пасхальных фестивалей искусств.
Осень 1830 г. провёл в своем имении Болдино в Нижегородской губернии. ,Пушкин прожил в своем имении  – в селе Болдино. 
Крылов работал библиотекарем в Императорской публичной библиотеке в Петербурге. ,С 1810 года и до конца жизни он работал библиотекаремв Императорской библиотеке  Петербурга.
Рейзингером в феврале I877 г. в Большом театре.,"Композитор написал его в 1876 г, а первая постановка была в феврале I877 г. в Большом театре."
Имя Иванушка – уменьшительно-ласкательная форма самого распространённого в старину русского мужского имени Иван.,Имя Иванушка – уменьшительная форма самого популярного в прошлом русского мужского имени Иван.
"Православие) храм называется церковь (в отличие от костёла в католичестве, мечети в мусульманстве и т. п.); главный или большой храм (церковь) в городе или в монастыре называется собор.",Небольшой храм называется церковь.
"В нём хранится большая коллекция рукописей VI−XX вв., среди которых рукописи на церковно−славянском, древнегреческом языках, латыни, современных славянских, западноевропейских и восточных языках, а также рукописи произведений русских писателей−классиков А.И. ",В том числе коллекция древних рукописей на разных языках и рукописей произведений русских писателей-классиков - А.И. 
"В конце ХIХ в. появились первые поздравительные рождественские открытки с изображением библейских сюжетов, русских церквей (см. церковь), зимних пейзажей, ёлок и словами поздравления: «С Рождеством Христовым!» ",С конца ХIХ в. начали выпускать рождественские открытки со словами поздравления: «С Рождеством Христовым!» 
"Читатель встречается с Онегиным, когда тому уже «наскучил жизни шум», ни чтение, ни сочинительство его тоже не увлекали – «как женщин, он оставил книги». ","Читатель встречается с Онегиным, которому уже скучно в Петербурге, везде и со всеми. "
"В борщ также добавляют укроп, петрушку, чëрный перец, лавровый лист и чеснок. ","На столе в  тарелку борща добавляют укроп, петрушку и сметану."
До Октябрьской революции 1917 г. и в советский (см. ,В советский (см. 
"Чехов и др.), выдающиеся учёные (Д.И. ",Чехов и  учёные: Д.И. 
В России день рождения празднуется в той или иной степени всеми. ,В России день рождения празднуется в той или иной степени всеми. 
"Крашеное пасхальное яйцо упоминается в пословице Дорого яичко ко Христову дню, означающей: всё хорошо вовремя.","Крашеное пасхальное яйцо упоминается в пословице Дорого яичко ко Христову дню, то есть всё хорошо вовремя."
Стали классикой русского и мирового оперного репертуара «Руслан и Людмила» М.И. ,а оперы по произведениям Пушкина («Руслан и Людмила» М.И. 
Собрание Третьяковской галереи насчитывает более 170 тысяч произведений.,Всего в собрании Третьяковской галереи более 170 тысяч произведений.
Праздник отмечается в России с 1890 г. ,Праздник отмечают в России с 1890 г. 
"В речи часто используется разговорное название театра – Мариинка (например, сходить в Мариинку, побывать в Мариинке).","В речи часто используется разговорное название театра – Мариинка (например, сходить в Мариинку, премьера в Мариинке)."
В неё вошли частные книжные коллекции. ,Библиотека создана в 1862 г. из частных книжных коллекций. 
"Государственный праздник, отмечается в ночь с 31 декабря на 1 января.","Государственный праздник, отмечается в ночь с 31 декабря на 1 января."
В России отмечается 7 января как государственный праздник. ,В России отмечают 7 января как государственный праздник. 
"Лермонтова «Бородино» (1837 г.), роман – эпопея Л.Н. ",Лермонтова «Бородино».
"Написана в 1905 г., спустя два года после публикации в декабре 1903 г. в новогоднем номере журнала «Малютка» стихотворения «Ёлочка», подписанного псевдонимом Кудашевой «А.Э.». ",Написана в 1905 г. 
Новый год – самый любимый детский праздник. ,Новый год – самый любимый детский праздник. 
Первый тост – «За жениха и невесту!» ,Первый тост — «За жениха и невесту!» 
Балет быстро превратился в одно из самых любимых и популярных произведений русского музыкального театра и со временем стал классикой мировой хореографии.,Эта постановка стала классикой мировой хореографии.
В руках у него мешок с подарками. ,В руках у него мешок с подарками.
Разговорное название московского Театра на Таганке.,Разговорное название московского Театра на Таганке.
"Каждый храм посвящён одному из христианских праздников или святому, день памяти которого называется храмовым праздником, а икона с его изображением храмовой иконой.",Каждый храм посвящен одному их православных праздников или святому.
"Русская национальная женская одежда: платье без рукавов, надеваемое поверх блузки или рубашки.","Русская национальная женская одежда, платье без рукавов."
На Олимпиаде в Инсбруке 1976 г. под мелодию «Калинки» выступали знаменитые советские фигуристы Ирина Роднина и Александр Зайцев. ,На Олимпиаде в Инсбруке 1976 г. под мелодию «Калинки» выступали  знаменитые советские фигуристы Ирина Роднина и Александр Зайцев. 
"В разговорной речи в переносном смысле Дедом Морозом могут назвать человека, щедро раздающего подарки.","Дедом Морозом могут назвать человека, щедро раздающего подарки."
В 1949-1953 гг. помещения музея отдали под «Выставку подарков И.В. ,В 1949-1953 гг. в музее находилась «Выставка подарков И.В. 
В 2014 г. перед зданием МХТ открыт памятник основателям театра В.И. ,В 2014 г. перед зданием МХТ открыт памятник основателям театра В.И. 
"Белинский, назвал «Евгения Онегина» «энциклопедией русской жизни».","Белинский сказал, что «Евгений Онегин» – это «энциклопедия русской жизни»."
"Зрительный образ Снегурочки создан такими художниками, как В.М. ",Зрительный образ Снегурочки создан В.М. 
"Создана в 1850 г., находится в Русском музее. ","Создана в 1850 г., находится в Русском музее. "
"Татьяна с первого взгляда полюбила Онегина и, нарушив принятые нормы поведения дворянской девушки (см. дворянка), написала ему письмо – признание в любви. ",Татьяна полюбила Онегина. 
Труппа театра (под названием Вольный русский театр) была образована учениками гимназии Московского Университета в 1756 г. после указа императрицы Елизаветы Петровныо создании в России профессионального театра. ,Труппа театра была образована учениками гимназии Московского Университета в 1756 г. 
"В старину валенки носили и в деревне, и в городе. ","В прошлом валенки носили и в деревне, и в городе. "
"С того времени День Победы − один из самых любимых праздников страны, день памяти героев, павших за свободу и независимость Родины.",С того времени День Победы − один из самых любимых праздников страны.
"Первоначально картины находились в апартаментах Зимнего дворца, которые назывались Эрмитаж – от французского слова «ermitage», что значит «место уединения». ","Картины находились в комнатах дворца, которые назывались Эрмитаж – от французского «ermitage» – «место уединения». "
Впервые труппа театра была создана в 1756 г. указом императрицы Елизаветы Петровны «для представления комедий и трагедий». ,Первую труппу театра «для представления комедий и трагедий» создала императрица Елизавета Петровна в 1756 г.
"В наше время имя Ивана-царевича используется в названиях артефактов, магазинов, фольклорных коллективов.","В наше время имя Ивана-царевича используется в названиях сувениров, магазинов, фольклорных коллективов."
"Важным событием в жизни Чехова была поездка в 1890 г. на остров Сахалин, её итогом стала вышедшая в 1894 г. документальная книга «Остров Сахалин».",Её итогом стала документальная книга «Остров Сахалин» (1894 г.).
"На Руси Рождество начали отмечать после принятия христианства в Х в., оно стало одним из самых весёлых праздников и в народной среде, и в высших слоях общества. ",На Руси Рождество начали отмечать в Х веке после принятия христианства.
Одна из многих картин художника на сюжеты русского эпоса и сказок.,Картина написана на сюжет из русского фольклора. 
"Всюду звучит песня «День Победы», написанная спустя несколько десятилетий после окончания войны, но ставшая гимном праздника.",Девятого мая по всей стране звучит песня «День Победы» и песни военных лет.
"От аббревиатуры МХАТ образовались слова мхатовец и мхатовцы (так называют актёров, творческая судьба которых связана с этим театром) и  мхатовский (мхатовские спектакли, мхатовские байки).","От аббревиатуры МХАТ образовались слова мхатовец и мхатовцы – так называют актёров и режиссёров и МХТ,  и МХАТа."
Освободительная война России против наполеоновской Франции.,Война России против агрессии наполеоновской Франции.
Соломин – в 1988 г. он стал художественным руководителем театра.,С 1988 г. художественный руководитель театра Ю.М. 
Центральные фигуры полотна – Иоанн Креститель и раб. ,Центральные фигуры полотна – Иоанн Креститель и раб. 
"Пушкина «Евгений Онегин», молодой аристократ, ведущий светский образ жизни, петербургский денди.","Пушкина «Евгений Онегин», молодой петербургский аристократ."
Имя Чехова носит Московский художественный театр. ,Имя Чехова носит Московский художественный театр и Международный театральный фестиваль.
Один из старейших театров России. ,Один из самых старых театров России. 
"Ей служат чёрные коты (см. кот), вороны (см. ворон), змеи (см. змея). ","Ей служат чёрные коты (см. кот), вороны (см. ворон), змеи (см. змея). "
В дни новогодних праздников по телевизору обязательно показывают всеми любимые художественные и мультипликационные фильмы прошлых лет. ,В дни новогодних праздников по телевизору обязательно показывают всеми любимые художественные и мультипликационные фильмы.
