source,cos_sim,target,level
Все равно ничего не поможет,0.7758979908854418,Всё равно ничего не поможет,b1_c1
"Россия – фантастическая страна духовного опьянения, страна хлыстов, самосожигателей, духоборов, страна Кондратия Селиванова и Григория Распутина, страна самозванцев и пугачевщины. ",0.6740186311167115,"Россия — фантастическая страна духовного опьянения, страна Григория Распутина, страна самозванцев. ",b1_c1
"Я хотел было ее поцеловать… Она вскрикнула: «Ай, не он! ",0.7597935367132306,"Она вскрикнула: «Ай, не он! ",b1_c1
Но пусть это будет моя тайна! ,1.0,Но пусть это будет моя тайна! ,b1
"Ответа не было, кроме того общего ответа, который дает жизнь на все самые сложные и неразрешимые вопросы. ",0.9520423395193965,"Ответа не было, кроме того общего ответа, который даёт жизнь на все самые сложные и неразрешимые вопросы. ",b1
Хватятся — не сносить головы. ,0.13840702962024848,Вам же хорошо платят хозяева. ,b1
как кипит сердце любовью! ,1.0000000000000002,как кипит сердце любовью! ,b1
Тузенбах. ,1.0000000000000002,Тузенбах. ,b2
— продолжал я. ,1.0,— продолжал я. ,a2
"Но все-таки я честнее и благороднее очень, очень многих… И могу это доказать.",0.9390134684162399,"Но всё-таки я честнее и благороднее очень, очень многих… И могу это доказать.",b2
"А летом Персиков при помощи Панкрата, на Клязьме поймал 14 штук вульгарных жаб. ",0.9858073268990257,"А летом Персиков, при помощи Панкрата, на Клязьме поймал 14 штук вульгарных жаб. ",b1_c1
"Он погладил его по голове и спросил у ребят, кто этот мальчик",0.5126647391925001,"Учитель спросил у детей, кто этот мальчик",a2_b1
– подумала Лизавета Ивановна.,0.9313181681004234,— подумала Лизавета Ивановна. ,b1
"Он сказал, что тотчас же по приезде придет к нам и если я не откажусь от него, то мы скажем обо всем бабушке. ",0.7726368200149428,"Он сказал, что тотчас же, когда вернётся, придёт к нам, и если я не откажусь от него, то мы скажем обо всём бабушке. ",b1
"— Позволь я тебе серьезный вопрос задать хочу, — загорячился студент. - Я сейчас, конечно, пошутил, но смотри: с одной стороны, глупая, бессмысленная, ничтожная, злая, больная старушонка, никому не нужная и, напротив, всем вредная, которая сама не знает, для чего живет, и которая завтра же сама собой умрет. ",0.7254964366449096,"Я тебе серьёзный вопрос задать хочу, смотри: с одной стороны, глупая, злая, больная старушонка, никому не нужная, которая сама не знает, для чего живёт, и которая завтра же сама собой умрёт. ",b1_c1
"Она всё еще говорила, что уедет от него, но чувствовала, что это невозможно; это было невозможно потому, что она не могла отвыкнуть считать его своим мужем и любить его. ",0.9067540733523132,"Она всё ещё говорила, что уедет от него, но чувствовала, что это невозможно; она не могла отвыкнуть считать его своим мужем и любить его. ",b1
"А хотите… хотите, я вам скажу сейчас прямо, без прикрас, зачем вы ко мне пожаловали? ",0.7051355647811454,"А хотите... я вам скажу сейчас прямо, зачем вы ко мне пришли? ",b1
"— ответила за нее Вера Иосифовна. — Мы приглашали учителей на дом, в гимназии же или в институте, согласитесь, могли быть дурные влияния; пока девушка растет, она должна находиться под влиянием одной только матери",0.6884917180343946,"— ответила за неё Вера Иосифовна. — Мы приглашали учителей домой, в гимназии же или в институте, сог ласитесь, могло быть плохое влияние. ",b1
Ольга. ,1.0000000000000002,Ольга. ,b2
— Как же вы поживаете? ,0.6790935806440074,— Как же вы поживаете? ,b1
"Этот господин — большой честолюбец и, верно, хочет быть рядом с носителем счастливой вести — вдруг и ему что-нибудь перепадет. — Маклафлин неодобрительно покачал головой. — Ну, а господа журналисты немедленно бросились врассыпную — ведь у каждого на такой случай есть свой человечек среди телеграфистов. ",0.11187179141828167,"Мужчины ждали своей очереди, чтобы встать рядом с теми, кто сейчас участвовал в штурме. ",b1
"— Назовите любой предмет, хоть бы даже самый тривиальный, и я напишу про него статью, которую моя газета с удовольствием напечатает, — протянул руку д’Эвре. — Пари? ",0.5239555529022581,"— Назовите любой предмет, и я напишу про него статью. ",b1
"Я оскорбила вас, но вы знаете — коли любишь, долго ли помнишь обиду. ",0.7211569259983192,"Но вы знайте — если любишь, долго ли помнишь обиду. ",b1
"Кроме фальши и лжи, ничего не могло выйти теперь; а фальшь и ложь были противны его натуре.",0.7154298917561553,"Кроме фальши и лжи ничего не могло быть теперь, а фальшь и ложь были ему неприятны. ",b1
"Я про вас не говорю, а вообще… Безнравственный народ! ",0.5229435181094358,"Я про вас не говорю, а вообще... ",b1_c1
– спросил Левин. ,0.5478619212164554,— прокричал Левин. ,b1
"— Я очень рада буду, если вы поедете. ",0.4658683632141133,"Я очень рада буду, если вы поедете. — Если придётся ехать, я буду думать, что это сделает вам удовольствие… — сказала, улыбаясь, Анна. — А я знаю, почему вы зовёте меня. ",b1
"Но миг проходит, и, может быть, назавтра же вы встретите опять тот же задумчивый и рассеянный взгляд, как и прежде, то же бледное лицо, ту же покорность и робость в движениях и даже раскаяние, даже следы какой-то мертвящей тоски и досады за минутное увлечение... ",0.6421117841597437,"Но миг проходит, и, может быть, завтра вы встретите опять тот же задумчивый взгляд, как и прежде, то же бледное лицо... ",b1
"Варя увидела, как лицо Белого Генерала стало красным. ",0.5525651810088631,"Варя увидела, как лицо генерала сначала покраснело. ",b1
"- Не национальное; хоть и по-русски, но не национальное; и либералы у нас не русские, и консерваторы не русские, все… И будьте уверены, что нация ничего не признает из того, что сделано помещиками и семинаристами, ни теперь, ни после… - Вот это хорошо! ",0.6657967062641591,"— Хоть и по-русски, но не национальное; и либералы у нас не русские, и консерваторы не русские, все",b1
Алексей Александрович был в министерстве. ,0.9999999999999998,Алексей Александрович был в министерстве. ,b1
Отчего нет его целый вечер? ,0.8041223468810316,Почему нет его целый вечер? ,b1
"Наш Анвар, тогда еще не никакой не эфенди, служил у него секретарем. ",0.3508990292724521,Тогда Анварэфенди стал секретарём у брата молодого султана. ,b1
"Носик Софии Николаевны сиял в это время, как Галлеова комета, которая еще не сияет, но будет сиять. ",0.909464644268903,"Носик Софии Николаевны сиял в это время, как Галлеева комета, которая ещё не сияет, но будет сиять. ",b1_c1
В большом городе пешеходы ведут мученическую жизнь. ,0.9999999999999998,В большом городе пешеходы ведут мученическую жизнь. ,b1_c1
"Не смейтесь; если вы будете смеяться, то вы недостойны это понять… - Вы видите, что я не смеюсь, - грустно и строго проговорила Настасья Филипповна",0.6500966908002245,"— Вы видите, что я не смеюсь, — грустно и строго проговорила Настасья Филипповна",b1
Молчи! ,0.9012787257830424,— Молчи! ,b1_c1
Маша. ,0.9999999999999999,Маша. ,b2
"Вы постарели, но еще не стары.",0.8527391552005295,"Вы постарели, но ещё не стары.",b2
"В эти последние годы подросли и созрели все три генеральские дочери, Александра, Аделаида и Аглая. ",0.9180762712761135,"В последние годы подросли все три генеральские дочери, Александра, Аделаида и Аглая. ",b1
"Кроме того, тотчас же по нескольким словам Дарья Александровна поняла, что Анна, кормилица, нянька и ребенок не сжились вместе и что посещение матерью было дело необычайное. ",0.7241043150763997,"Кроме того, тотчас же по нескольким словам Дарья Александровна поняла, что Анна, гувернантка и ребёнок не подружились вместе и что приход матери было дело необычайное. ",b1
Отчего вы так резко и круто отчалили от Калининых? ,0.34423387007494843,"Кто-то спросил вас, почему вы давно не были в доме Калининых? ",b1
"Андрей не влюблен — я не допускаю, все-таки у него вкус есть, а просто он так, дразнит нас, дурачится. ",0.8714295252154808,"Андрей не влюблён — я не до пускаю, всё-таки у него вкус есть, а просто он так, дразнит нас, дурачится. ",b2
Стеклышки опять же,0.1893601305805072,"Он верил, что опять победит. ",b1
"Я должен наконец говорить, высказать, что у меня накипело тут, в сердце... ",0.8451669158535124,"Я должен наконец говорить, высказать, что у меня наболело тут в сердце...",b1
Я молод! ,0.5502919706260276,Я так молод! ,b1
"Ах да, послушайте: если бы вас кто-нибудь вызвал на дуэль, что бы вы сделали? ",0.9318079131743428,"Ах да, послушайте: если бы васкто-нибудь вызвал на дуэль, что бы вы сделали? ",b1
Из-за урезания расходов на гражданские нужды в 1877 году на территории империи не проложено ни одной версты железных дорог. ,0.14782139869770805,"У вас огромная территория, много народа. ",b1
— «Севильского цирюльника»! ,0.7491377467932714,— «Севильского цирюльника»! ,b1
"Ты удивленно, с некоторым страхом оглядываешься на пройденный тобою путь, и я вижу, как чело твое покрывается морщинами. ",0.20456750366232826,(Оглядывается.) ,a2_b1
"Давайте посидим вместе, хоть помолчим. ",1.0,"Давайте посидим вместе, хоть помолчим. ",b2
"Я встал, пошел в другую комнату и наткнулся там на другую барышню. ",0.9588303918745686,"Я встал, пошёл в другую комнату и наткнулся там на другую барышню. ",b1_c1
Деряев почти вслух бранил докторов и советовал мировому полечиться у какого-то Евстрата Иваныча. ,0.5140880489884573,Деряев ругал докторов и советовал лечиться у другого врача. ,b1
"«Эх, неизбежно!» ",1.0,"«Эх, неизбежно!» ",b1_c1
Фандорин помотал головой,0.42706875099214936,Фандорин помнил этого человека. ,b1
"Я вижу возможность отчаяния, несчастия... или я вижу возможность счастья, какого счастья!.. ",0.7422955490793164,Я вижу возможность несчастья… или счастья!.. ,b1
С этим посольством Бетси ездила к Анне и привезла ему отрицательный ответ.,0.7824005441024612,С этой мыслью Бетси ездила к Анне и привезла ему отрицательный ответ. ,b1
Отчего это? ,1.0,Отчего это? ,b2
"Даже не было надежды, чтоб ее пригласили, именно потому, что она имела слишком большой успех в свете, и никому в голову не могло прийти, чтоб она не была приглашена до сих пор. ",0.907721956315677,"Даже не было надежды, чтобы её пригласили, потому что она имела слишком большой успех в свете, и никому в голову не могло прийти, чтобы она не была приглашена до сих пор. ",b1
ты? ,1.0,ты? ,b1_c1
"– сказала им графиня. – Сказать Лизавете Ивановне, что я её жду.",0.7762421253985485,"— сказала им графиня. — Скажи Лизавете Ивановне, что я её жду.",b1
"И, вновь перебрав условия дуэли, развода, разлуки и вновь отвергнув их, Алексей Александрович убедился, что выход был только один — удержать ее при себе, скрыв от света случившееся и употребив все зависящие меры для прекращения связи и, главное, — в чем самому себе он не признавался — для наказания ее. ",0.7136491082353723,"Снова обдумав условия дуэли и развода и опять отказавшись от них, Алексей Александрович убедился, что выход был только один — удержать её при себе, употребив все меры для прекращения связи, и главное — в чём самому себе он не признавался — для наказания её. ",b1
Варя побледнела,0.1782800682523651,— Варя уже была готова заплакать,b1
"– О нет, это далеко! ",0.7461463002306783,"— О нет, это далеко! ",b1
"Я в дом уже не хожу, и не пойду… Ирина. ",0.6971281655988387,"Я в дом уже не хожу, и не пойду...",b2
Отчего не совершать великих дел? ,1.0,Отчего не совершать великих дел? ,b1_c1
А прошел только час.,0.7514726021717425,А прошёл только час. ,b1
"- закричала Настасья Филипповна, отталкивая его: - расступитесь все! ",0.7081503714783125,"— закричала Настасья Филипповна, отталкивая его. — Отойдите все! ",b1
"Ну, дай тебе бог, понимаешь… Ведь я тебя пятнадцать лет знаю! ",0.15856248236046677,Вот вам двадцать пять рублей. ,a2_b1
Держите перст возвышенно и прямо! ,0.1587153254672486,"Напротив, женское общество возвышает! ",a2_b1
Подошедшие к ним три дамы с вопросами – oubli ou regret? ,0.6356743167561754,"Может быть, ввашей комнате, во время вашего сна: от него можно ждать всего… К ним подошли три дамы с вопросами — oubli ou regret? ",b1
Варя ничего не видела и не слышала. ,0.17019675295486514,Варя поняла: никто из них ей не поможет. ,b1
"Мысль эта ужаснула Лизу, и она решилась на другое утро опять явиться в рощу Акулиной.",0.6772480606583002,"Мысль эта испугала Лизу, и она решила на другое утро опять прийти в лес Акулиной.",a2
Был хороший августовский день.,0.254579919621968,И хороший актёр! ,b1
Заключение Германн сошёл с ума. ,0.737539326043939,Германн сошёл с ума. ,b1
Михал Дмитрич! ,0.7247451901300448,— Михаил Дмитриевич! ,b1
"Пухлая, хорошо выкормленная девочка, как всегда, увидав мать, подвернула перетянутые ниточками голые ручонки ладонями книзу и, улыбаясь беззубым ротиком, начала, как рыба поплавками, загребать ручонками, шурша ими по крахмаленым складкам вышитой юбочки. ",0.3978309157747525,"Девочка, как всегда, увидев мать, улыбнулась беззубым ротиком. ",b1
"Германн увидел, что она умерла.",0.9999999999999997,"Германн увидел, что она умерла.",b1
"Покою ни днем, ни ночью. ",0.6090283672710245,"Покоя нет ни днём, ни ночью. ",a2
"Только мне, говорит, ваши деньги не нужны, я сама кого хочешь одарю. ",0.41924476339889655,Но мне ваши деньги не нужны. ,b1
"Он налил себе полную тарелку, поперчил кайенским перцем и стал хлебать… «Бедняга… — продолжал ужасаться француз. — Или он болен и не замечает своего опасного состояния, или же он делает всё это нарочно… с целью самоубийства… Боже мой, знай я, что наткнусь здесь на такую картину, то ни за что бы не пришёл сюда! ",0.6175028034831834,"«Бедняга... — продолжал ужасаться француз. — Или он болен и не замечает своего опасного состояния, или же он делает всё это нарочно... с целью самоубийства... ",b1_c1
"Насильно мил не будешь, конечно… Но счастливых соперников у меня не должно быть… Не должно… Клянусь вам всем святым, соперника я убью… О чудная!",0.33393291056213137,"Насильно мил не будешь, конечно... ",b2
"Вероятно оттого, что горло заплыло жиром, голос у него изменился, стал тонким и резким. ",0.6542794568690848,"Голос у него изменился, стал тонким и резким. ",b1
"Вспомните, что их пишет бедная девушка, что она одна, что некому ни научить ее, ни посоветовать ей и что она никогда не умела сама совладеть с своим сердцем. ",0.7355065358341621,"Вспомните, что его пишет бедная девушка, что она одна, что некому ни научить её, ни посоветовать ей. ",b1
Урбенин поблагодарил меня и после моего ухода уже гулял по коридору: его дверь уж более не запиралась.,0.22760709531970094,"И неблагодарный человек, потому что ему разрешили гулять по коридору, а он своим ключом открыл дверь другой камеры, зашёл туда и убил человека! ",b1
"Милая, говорю тебе как сестра, как друг, если хочешь моего совета, выходи за барона!",0.9999999999999998,"Милая, говорю тебе как сестра, как друг, если хочешь моего совета, выходи за барона!",b2
"Я умру, умру! ",0.9127102869247815,Я умру! ,b1
Ирина. ,0.9999999999999998,Ирина. ,b2
— Варя схватилась за сердце. — Как быстро! ,0.6389475907226726,— Варина рука легла на сердце. — Как быстро! ,b1
Учиться совсем не так трудно. ,0.8428584194442812,Учиться совсем не  так трудно. ,b1_b2
"Ей казалось натурально и просто видеть сына, когда она будет в одном с ним городе; но по приезде в Петербург ей вдруг представилось ясно ее теперешнее положение в обществе, и она поняла, что устроить свидание было трудно.",0.5971059792619137,"Когда Анна приехала в Петербург, она вдруг ясно поняла своё теперешнее положение в обществе и что устроить свидание будет трудно. ",b1
(Смотрит на часы.) ,1.0,(Смотрит на часы.) ,b2
Она сломится под твоею тяжестью — и ты неизбежно погибнешь!,0.9917295672239036,Она сломится под твоею тяжестью — и ты неизбежно погибнешь! ,b1_c1
"Она попробовала улыбнуться, успокоиться, но подбородок ее дрожал и грудь все еще колыхалась",0.5534330286574103,"Она попробовала улыбнуться, успокоиться, но у неё ничего не получилось",b1
"Наталья Ивановна, и вам женишка желаю.",0.5850970255636786,"Наталья Ивановна, его невеста, потом жена.",b2
"— Эраст… — внезапно вырвалось у нее, но слова застряли, так и не выплеснулись.",0.2008714551629255,— Эраст... ,b1
Дона Анна!,0.8041568888214313,Дона Анна. ,b1_c1
"Он подошел к ней и, взяв ее за руку, тихо сказал: – Анна, поедем послезавтра, если хочешь. ",0.8361886168620023,"Он подошёл к ней и, взяв её за руку, тихо сказал: — Анна, поедем послезавтра, если хочешь. ",b1
И ничего для собак.,1.0,И ничего для собак.,b1
— Англичан поставить перед фактом! ,0.20028609711776718,— Вот англичане удивятся! ,b1
"Но скоро, когда он увидел, что его не выпускают, и когда сообщили ему показание Кузьмы, он опять запечалился",0.2651094294621939,Часть 40  Появление Кузьмы всё опять запутало. ,b1
"Про нее уведомлял Евгений Павлович в одном довольно нескладном письме из Парижа, что она, после короткой и необычайной привязанности к одному эмигранту, польскому графу, вышла вдруг за него замуж, против желания своих родителей, если и давших наконец согласие, то потому, что дело угрожало каким-то необыкновенным скандалом. ",0.46813253647021524,"Аглая Ивановна Епанчина после короткой и необычайной дружбы с одним эмигрантом, польским графом, вышла вдруг за него замуж, против желания своих родителей. ",b1
"– Not in my line, – отвечал Вронский, любивший это выражение, но улыбнулся и обещал приехать.",0.42036241235705796,Вронский улыбнулся и обещал приехать. ,b1
"— Я одно скажу, — начала Анна, — я его сестра, я знаю его характер, эту способность всё, всё забыть (она сделала жест пред лбом), эту способность полного увлечения, но зато и полного раскаяния. ",0.7405200616142277,"Я всё передумала и ничего не вижу. — Я одно скажу, — начала Анна, — я знаю его характер, эту способность полного увлечения, но зато и полного раскаяния. ",b1
Только один Алексей Александрович ни разу не взглянул в ту сторону и не был отвлечен от интереса начатого разговора.,0.7543915359319827,Только один Алексей Александрович ни разу не взглянул в ту сторону. ,b1
Потом он начал влюбляться во вторую. ,1.0000000000000002,Потом он начал влюбляться во вторую. ,b1
"и поверьте, не было бы для меня большего блаженства, как жить с вами если не в одном доме, то по крайней мере в самом ближайшем соседстве",0.91109761282016,"и поверьте, не было бы для меня большего счастья, как жить с вами если не в одном доме, то по крайней мере в самом ближайшем соседстве",b1_c1
Наташа. ,1.0,Наташа. ,b2
Князь прекрасно рассказал об осле. ,0.9999999999999999,Князь прекрасно рассказал об осле. ,b1
"Впрочем, что такое слезы человеческие? ",0.11108358836812043,Я несчастный человек! ,a2_b1
Вершинин. ,1.0,Вершинин. ,b2
"Он сказал: если найти счастливого человека, снять с него рубашку и надеть на царя — царь выздоровеет. ",0.6032446923639209,Он сказал:  — Надо найти счастливого человека и снять с него рубашку. ,a2_b1
Это ужасно. ,1.0,Это ужасно. ,b1
Он: «Больше жизни». ,1.0,Он: «Больше жизни». ,b1
"— Рад, — коротко произнес Фандорин и посторонился, давая пройти. ",0.1249440769592868,«Дом» Фандорина оказался очень маленьким — всего одна комната. ,b1
— Эраст,0.39376560801282245,"— Всё просто, Эраст. ",b1
"Да… Я, должно быть, растрепанная. ",0.59298449248654,"Я, должно быть, растрёпанная. ",b2
"Нет, что-то здесь не так! ",0.2263963136134933,— Англичане здесь ни при чём. ,b1
"Он сидит в Обуховской больнице в 17-м нумере, не отвечает ни на какие вопросы и бормочет необыкновенно скоро: «Тройка, семёрка, туз! ",0.7373321768206568,"Он сидит в Обуховской больнице, не отвечает ни на какие вопросы и тихо и необыкновенно быстро повторяет: «Тройка, семёрка, туз! ",b1
"И француз с сожалением стал рассматривать лицо соседа, каждую минуту ожидая, что вот-вот начнутся с ним судороги, какие всегда бывали у дяди Франсуа после опасного пари… «По-видимому, человек интеллигентный, молодой… полный сил… — думал он, глядя на соседа. — Быть может, приносит пользу своему отечеству… и весьма возможно, что имеет молодую жену, детей… Судя по одежде, он должен быть богат; доволен… но что же заставляет его решаться на такой шаг?.. ",0.3958586947371983,"Судя по одежде, он должен быть богат, доволен... но что же заставляет его ре шаться на такой шаг?.. ",b1_c1
— сказала Долли улыбаясь,0.61729607861486,"– сказала Долли, улыбаясь. — Ну что моя милая Анна?",b1
Сидит там… (Уходит.),0.4128369784928512,Сидит там... ,b2
Маша. ,0.9999999999999999,Маша. ,b2
Скверно могло з-закончиться.,0.3334292364820345,Для вас всё могло закончиться очень плохо». ,b1
"Вы такая бледная, прекрасная, обаятельная… Мне кажется, ваша бледность проясняет темный воздух, как свет… Вы печальны, вы недовольны жизнью… О, поедемте со мной, поедемте работать вместе!..",0.4504365846198794,"Вы такая бледная, прекрасная, обаятельная... ",b2
"Нянечка, дай ему пирога. ",1.0,"Нянечка, дай ему пирога. ",b2
"Приедет петербургский генерал и с ним дочь, молодая графиня… И такой моды, братцы, что не может услышать бранного слова… Сейчас испугается и… в слезы! ",0.66944422429099,"Приедет петербургский генерал и с ним дочь, молодая графиня… И такая, что не может слышать ругательного слова. ",b1_c1
